Section,Indicator Name,Abidjan,Accra,Cairo,Dakar,Johannesburg,Kampala,Kigali,Lagos,Lusaka,Nairobi ,Rabat,Tunis
Systems,Intelligent Transport Systems,"Metro: CBTC system, automated operations, real-time passenger info, dynamic route maps; BRT: Trapeze ITS with control centre, passenger info, real-time tracking; Smart parking sensors",Traffic monitoring; AI-powered traffic lights (planned),Traffic monitoring; Incident detection,Adaptive traffic signals; Traffic monitoring; Real-time info; Route optimization; Incident detection,Traffic monitoring; Real-time analytics; Adaptive traffic management planned,Traffic monitoring; Adaptive traffic signals; Incident detection,Traffic monitoring (CCTV); Speed enforcement cameras; Automated violation detection; Real-time traffic data (Tap&Go 4G LTE),Adaptive traffic signals (testing); Traffic monitoring; ANPR cameras; Drone surveillance; Real-time info,Traffic monitoring; Ordnance Survey AI mapping for transport infrastructure,Adaptive traffic signals; Traffic monitoring; Real-time info; Route optimization; Incident detection,Surveillance cameras for traffic monitoring; Smart mobility systems recommended but not implemented,ANPR traffic enforcement; National Urban Mobility Plan
Systems,Smart Public Transit Systems,Metro (under construction): Real-time tracking; Wi-Fi; Video surveillance; Passenger information; Automated operations. BRT (under construction): Real-time tracking; Smart card ticketing; Fleet management; Passenger information; Station-based scheduling,Real-time tracking; Mobile ticketing; Fleet management (electric buses),Cairo Monorail (driverless); High-speed rail; Smart infrastructure,Real-time tracking; Mobile ticketing; Integrated payment; Fleet management; Passenger information,Planned via PPP; Gautrain and BRT exist,None; Traditional only,Real-time tracking (4G LTE); Mobile ticketing (Tap&Go smart cards); Integrated payment (mobile money top-up); Fleet management; Cashless payment,Real-time tracking; Mobile ticketing; Integrated payment; Fleet management; Passenger information,None,Real-time tracking; Mobile ticketing; Integrated payment,Limited; Traditional systems; Recommendations not implemented,None identified
Systems,Smart Parking Systems,Limited (specific zones),None,None,Limited (few stations),None,None,None,None,None,Moderate (some smart parking),None,None
Systems,Shared Mobility Platforms,Unknown,Ride-hailing integrated,None,None,Ride-hailing (commercial only),None,None,Ride-hailing integrated; E-scooter sharing,Ride-hailing (private commercial),Ride-hailing integrated,Ride-hailing (commercial private); No official bike/scooter sharing,None
Systems,EV Charging Infrastructure,Limited (few stations),Pilot only,None,Limited (few stations),Limited,None,Unknown,Limited (few stations),None,Limited (few stations),None,None
Systems,Smart Grid Systems,BRT electric charging infrastructure with smart monitoring; Real-time energy tracking via connected sensors,Grid monitoring; IoT energy meters (Appolonia City),AI-enhanced utility management,Smart meters; Grid monitoring,Smart meters; AMI; VPP planned; Network visibility tech,Unknown,Smart metering planned (Vision City); Huawei involved in smart grid development (2017 MOU),Smart meters; Grid monitoring (Eko Atlantic),Smart meters; Advanced metering infrastructure; Grid monitoring,Smart meters; Grid monitoring,Unknown,Grid monitoring; Distributed generation integration planned
Systems,Smart Street Lighting,Unknown,Limited,Unknown,Limited (specific zones),Pilot,Moderate,Limited,Moderate (major areas),Limited,Limited (specific zones),Unknown,Unknown
Systems,Smart Building Management,Unknown,Limited,Limited,Limited (few buildings),Limited,Unknown,Limited,Limited (few buildings),Limited,Moderate (several buildings),Limited,Limited
Systems,Air Quality Monitoring Network,Unknown,Limited,None,Unknown,Unknown,Unknown,Unknown,Unknown,Limited,Limited (1-4 stations),Unknown,Unknown
Systems,Water Quality Monitoring,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Deployed (Eko Atlantic),Pilot,Deployed (operational system),Unknown,Unknown
Systems,Climate and Weather Monitoring,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Limited,Basic network,Basic network,Unknown
Systems,Smart Water Metering,Unknown,Unknown,Unknown,Unknown,Pilot,Unknown,Pilot only,Limited (specific areas),Pilot,Moderate (significant coverage),Unknown,Unknown
Systems,Smart Leak Detection Systems,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Pilot,Deployed (operational),Unknown,Unknown
Systems,Smart Waste Collection,None,Route optimization; Tracking systems; Smart bins (pilot),None,None,Smart bins; Route optimization planned,Tracking systems; Route optimization,Fill-level sensors; Smart bins; Real-time monitoring,None,None,Fill-level sensors; Route optimization; Tracking systems; Smart bins,None,Fill-level sensors (La Marsa pilot); Route optimization
Systems,Smart Recycling Technologies,None,Deployed,None,None,Pilot,None,Deployed,None,None,Pilot,None,None
Systems,Telehealth and Digital Health Systems,Universal Health Coverage (CMU) rollout; Digital health initiatives mentioned,Digital health services integration (planned),Emergency response integration,Telemedicine platforms; E-health records; mHealth apps,Hillbrow Health Innovation District planned,E-health records; Telemedicine platforms,Zipline drone medical delivery (operational); Irembo health insurance services; Mbaza AI chatbot (COVID-19); Babyl healthcare AI,Emergency response integration,Health Information Management System (HIMS); 250 solar-powered healthcare facilities; Telemedicine in Smart Villages,Telemedicine platforms; mHealth apps; E-health records,CAFRAD-SMSD partnership for digital health; 3rd Global Summit of Digital Health HealthTech 2026 planned Rabat; Morocco COVID-19 digital health systems; Telemedicine legislation,First fully digital hospital planned (announced Oct 2025); Teleconsultation pilots in Tabarka
Systems,Smart Emergency Response Systems,CCDO special forces coordination; Video surveillance for security response,Real-time incident analysis; First responder coordination (planned),Emergency number 112 integrated with ICCC; First responder coordination; Incident management,Emergency alerts; First responder coordination; Incident management,AURA Automatic Dispatching System; IIOC command center; First responder coordination,Incident detection; First responder coordination,Zipline emergency medical delivery (~30 min response); CCTV command center for security monitoring; Body-worn police cameras,Emergency alerts; First responder coordination; Incident management,National Command Centre; Ordnance Survey disaster response planning,Emergency alerts; First responder coordination; Incident management,Surveillance command centers designed for emergency response; Drone and body camera deployment for event security; FBI study mission on security coordination,Unknown
Systems,Smart Fire Detection and Response,None,None,Unknown,Unknown,None,None,Unknown,None,None,None,None,None
Systems,E-Government Services Available,Tax filing (online tax network); Digital permits system planned; Address management system,Online payments; Digital permits; Tax filing; Service requests; Information portals; Digital addresses; Birth certificates,Digital permits; Online payments; Service requests; Information portals,Online payments; Digital permits; Tax filing; Service requests; Information portals,Digital payments; Digital permits; Service requests; Biometric licensing; Innovation Challenge submission platform (Airtable),Online payments; Digital permits; Tax filing; Service requests; Information portals,Online payments; Digital permits; Digital certificates; Tax filing; Service requests; Traffic fines; Land titles; Health insurance; Driving licenses; Birth/marriage/death certificates; Information portals,Online payments; Digital permits; Tax filing; Service requests; Information portals; Business listings,Online payments; Digital permits; Tax filing; Immigration services; Social services; Education services; Healthcare records,Online payments; Digital permits; Tax filing; Service requests; Complaints; Information portals,Digital ID (9M users); Digitized birth certificates (30M); Voice-to-text for government services; AI-powered administrative reform; Cultural digitization; E-government services expanding,Online payments; Digital permits; Service requests; E-Barid (mailbox); Information portals; E-CNAM health; Revenue stamps
Systems,Digital Payment Integration,Mobile money; Smart card ticketing (BRT planned),Mobile money; Credit/debit cards; Online banking; Shortcode payments,Smart cards; Mobile payments; Credit/debit cards,Mobile money; Credit/debit cards; Online banking; QR codes,Mobile money; Credit/debit cards; Online banking; Digital wallets,Mobile money; Online banking; Digital wallets,"Mobile money (MTN, Airtel); Credit/debit cards; Online banking; IremboPay gateway",Mobile money; Credit/debit cards; Online banking; Digital wallets,Mobile money; Online banking; Digital wallets,Mobile money (M-Pesa); Credit/debit cards; Online banking; Digital wallets,Mobile money; Online banking; Digital payment systems available,Mobile money; Credit/debit cards; Online banking
Systems,Open Data Portal,FALSE,TRUE,Unknown,Unknown,FALSE,Unknown,Unknown,FALSE,FALSE,FALSE,Unknown,FALSE
Systems,Digital Citizen Engagement Platform,BRT Grievance Redress Mechanism (being established),CitizenApp - 311-style reporting and service requests,None,Service request system,Citizen resolution platform (planned); Innovation Challenge via Airtable,KCCA mobile app; U-Report platform; Social media; Interactive web portal,"Irembo feedback mechanisms for service delivery; 7,000+ agent network for citizen support","MyLagosApp - citizen reporting, feedback, service requests",ZamPortal service requests; Government Services Bus,Service request system; Complaint mechanisms,Participatory urbanism survey conducted; Recommendations for citizen feedback; No active platform documented,e-People platform (updated July 2025)
Systems,Digital Twin Implementation,None,None,None,None,None,None,None,None,None,Pilot,Pilot,None
Systems,GIS and Spatial Data Systems,Advanced GIS (integrated systems),Basic GIS,Advanced GIS,Unknown,Basic GIS,Advanced GIS,Basic GIS,Basic GIS,Advanced GIS,Basic GIS,Advanced GIS,Unknown
