facility_id,facility_name,country,country_name,city,operational_status,year_operational,facility_type,services_offered,govt_data_hosted,operator_name,ownership_type,ownership_structure_type,ownership chain,major shareholders,government_ownership_pct,foreign_ownership_pct,controlling_entities,control_mechanisms,recent_investments,dfi_involvement,investment_usd,expansion_plans,key_tenants,hyperscaler_relationships,Microsoft,AWS,Google,cloud_act_exposure,chinese_entities,foreign_dependency_score,open_source_stack,parent_hq_country,ultimate_parent_hq_country,chinese_involvement,parent_company,ultimate_parent_company,sovereignty_category,data_residency_guarantee,local_dp_compliance,total_floor_space_sqm,rack_capacity,it_capacity_mw,submarine_cable_access,ixp_presence,carrier_neutrality,gpu_ai_capability,server_vendors,cloud_platform,security_certifications,gps_coordinates,comments,source_urls
NGA-001,Equinix LG1 (MDXi Lekki),NGA,Nigeria,Lagos,Operational,2015,Colocation/carrier-neutral,Colocation; Interconnection; Equinix Fabric; Cloud connect; Bare metal,Hosts government data alongside commercial,Equinix,Private foreign,"Public REIT, institutional-dominated","Equinix, Inc.","Vanguard Group (13.64%), BlackRock (10.99%), State Street (6.32%), FMR LLC (2.86%), Cohen & Steers (2.66%) [Yahoo Finance](https://finance.yahoo.com/quote/EQIX/holders/)",,Not specified,,Equity,"$320M MainOne acquisition (2022); $390M 5-yr build plan (2024); $160M JN1 Johannesburg (2023); $22M LG3 Lagos phase 1, $100M plan (2025)",None recent; pre-2022 AfDB funded MainOne cable (2009),,Actiive (under construction),Carriers; ISPs; content providers,"Low-latency connectivity to AWS, Microsoft Azure, Google Cloud, Meta via MainOne/Equinix Fabric; anchor customers include hyperscalers [Equinix PR](https://newsroom.equinix.com/2022-04-05-Equinix-Enters-Africa,-Closing-the-US-320-Million-Acquisition-of-MainOne)",Yes,Yes,Yes,Yes (US-parented operator or hyperscaler on-ramp),,"High (foreign ownership, proprietary stack, CLOUD Act exposure)",Predominantly proprietary ,USA,USA,None,Equinix Inc,"Equinix, Inc.",US Control,"Yes, contractual guarantee",Self-declared compliant,1500,,7.5,At or adjacent to cable landing station,IXP hosted on-site,Fully carrier-neutral,"Yes, confirmed GPU/AI infrastructure",Unknown,Unknown,ISO 27001; PCI-DSS; SOC 1 Type II; SOC 2 Type II,"6.4349, 3.5039","Formerly MDXi Lekki DC; rebranded to Equinix LG1 on 24 Oct 2024. Adjacent to MainOne cable landing station; access to WACS; ACE; MainOne; Glo-1 cables. Tier III Uptime certified. IXPN on-site.. [Equinix Investor](https://investor.equinix.com), [Yahoo Finance Holders](https://finance.yahoo.com/quote/EQIX/holders/), [MainOne Acquisition PR](https://newsroom.equinix.com/2022-04-05-Equinix-Enters-Africa,-Closing-the-US-320-Million-Acquisition-of-MainOne), [DCD News](https://www.datacenterdynamics.com)",https://www.equinix.com/data-centers/europe-colocation/nigeria-colocation/lagos-data-centers/lg1; https://www.datacentermap.com/nigeria/lagos/mdxi-lekki-dc/specs/; 
NGA-002,Equinix LG2 (Lekki Expansion),NGA,Nigeria,Lagos,Operational,2020,Colocation/carrier-neutral,Colocation; Interconnection; Equinix Fabric; Peering,Hosts government data alongside commercial,Equinix,Private foreign,"Public REIT, institutional-dominated","Equinix, Inc.","Vanguard Group (13.64%), BlackRock (10.99%), State Street (6.32%), FMR LLC (2.86%), Cohen & Steers (2.66%) [Yahoo Finance](https://finance.yahoo.com/quote/EQIX/holders/)",,Not specified,,Equity,"$320M MainOne acquisition (2022); $390M 5-yr build plan (2024); $160M JN1 Johannesburg (2023); $22M LG3 Lagos phase 1, $100M plan (2025)",None recent; pre-2022 AfDB funded MainOne cable (2009),,Actiive (under construction),Carriers; financial institutions,"Low-latency connectivity to AWS, Microsoft Azure, Google Cloud, Meta via MainOne/Equinix Fabric; anchor customers include hyperscalers [Equinix PR](https://newsroom.equinix.com/2022-04-05-Equinix-Enters-Africa,-Closing-the-US-320-Million-Acquisition-of-MainOne)",Yes,Yes,Yes,Yes (US-parented operator or hyperscaler on-ramp),,"High (foreign ownership, proprietary stack, CLOUD Act exposure)",Predominantly proprietary ,USA,USA,None,Equinix Inc,"Equinix, Inc.",US Control,"Yes, contractual guarantee",Self-declared compliant,644,,3,At or adjacent to cable landing station,IXP hosted on-site,Fully carrier-neutral,"Yes, confirmed GPU/AI infrastructure",Unknown,Unknown,ISO 9001; ISO 27001; PCI-DSS; SOC 2 Type II,"6.4349, 3.5039","LG2 part of Equinix Lagos Campus adjacent to LG1. Expansion LG2.3 launched April 2025. 644 sqm; N+N UPS; AMS-IX Lagos and IXPN peering available. 3 x 1000kVA diesel generators.. [Equinix Investor](https://investor.equinix.com), [Yahoo Finance Holders](https://finance.yahoo.com/quote/EQIX/holders/), [MainOne Acquisition PR](https://newsroom.equinix.com/2022-04-05-Equinix-Enters-Africa,-Closing-the-US-320-Million-Acquisition-of-MainOne), [DCD News](https://www.datacenterdynamics.com)",https://www.equinix.com/data-centers/europe-colocation/nigeria-colocation/lagos-data-centers/lg2; https://www.datacentermap.com/nigeria/lagos/equinix-lg2/; 
NGA-003,Equinix LG3 (Victoria Island),NGA,Nigeria,Lagos,Under construction,2026,Colocation/carrier-neutral,Colocation; Interconnection; Equinix Fabric,Hosts government data alongside commercial,Equinix,Private foreign,"Public REIT, institutional-dominated","Equinix, Inc.","Vanguard Group (13.64%), BlackRock (10.99%), State Street (6.32%), FMR LLC (2.86%), Cohen & Steers (2.66%) [Yahoo Finance](https://finance.yahoo.com/quote/EQIX/holders/)",,Not specified,,Equity,"$320M MainOne acquisition (2022); $390M 5-yr build plan (2024); $160M JN1 Johannesburg (2023); $22M LG3 Lagos phase 1, $100M plan (2025)",None recent; pre-2022 AfDB funded MainOne cable (2009),22000000,Planned,Enterprises; carriers; cloud providers,"Low-latency connectivity to AWS, Microsoft Azure, Google Cloud, Meta via MainOne/Equinix Fabric; anchor customers include hyperscalers [Equinix PR](https://newsroom.equinix.com/2022-04-05-Equinix-Enters-Africa,-Closing-the-US-320-Million-Acquisition-of-MainOne)",Yes,Yes,Yes,Yes (US-parented operator or hyperscaler on-ramp),,"High (foreign ownership, proprietary stack, CLOUD Act exposure)",Predominantly proprietary ,USA,USA,None,Equinix Inc,"Equinix, Inc.",US Control,"Yes, contractual guarantee",Self-declared compliant,610,,1.5,Connected via metro fibre,IXP connected (not hosted),Fully carrier-neutral,"Yes, confirmed GPU/AI infrastructure",Unknown,Unknown,ISO 27001; PCI-DSS,"6.4289, 3.4297","$22M investment; 610 sqm colocation at 43 Saka Tinubu Victoria Island. First Equinix-built (not acquired) DC in West Africa. Targets Q1 2026 opening. Incorporates Equinix Fabric for cloud connectivity.. [Equinix Investor](https://investor.equinix.com), [Yahoo Finance Holders](https://finance.yahoo.com/quote/EQIX/holders/), [MainOne Acquisition PR](https://newsroom.equinix.com/2022-04-05-Equinix-Enters-Africa,-Closing-the-US-320-Million-Acquisition-of-MainOne), [DCD News](https://www.datacenterdynamics.com)","https://newsroom.equinix.com/2025-11-10-Equinix-Announces-Plans-for-New-22-Million-Data-Center-in-Lagos,-Nigeria; https://www.equinix.com/data-centers/europe-colocation/nigeria-colocation/lagos-data-centers; "
ZAF-022,Equinix JN1 (Johannesburg IBX),ZAF,South Africa,Johannesburg (Germiston),Operational,2024,Colocation/carrier-neutral,Colocation; interconnection; cloud on-ramps; Platform Equinix,Hosts government data alongside commercial,Equinix Inc.,Private foreign,"Public REIT, institutional-dominated","Equinix, Inc.","Vanguard Group (13.64%), BlackRock (10.99%), State Street (6.32%), FMR LLC (2.86%), Cohen & Steers (2.66%) [Yahoo Finance](https://finance.yahoo.com/quote/EQIX/holders/)",,Not specified,,Equity,"$320M MainOne acquisition (2022); $390M 5-yr build plan (2024); $160M JN1 Johannesburg (2023); $22M LG3 Lagos phase 1, $100M plan (2025)",None recent; pre-2022 AfDB funded MainOne cable (2009),160000000,Actiive (under construction),Cloud providers; financial services; global enterprises,"Low-latency connectivity to AWS, Microsoft Azure, Google Cloud, Meta via MainOne/Equinix Fabric; anchor customers include hyperscalers [Equinix PR](https://newsroom.equinix.com/2022-04-05-Equinix-Enters-Africa,-Closing-the-US-320-Million-Acquisition-of-MainOne)",Yes,Yes,Yes,Yes (US-parented operator or hyperscaler on-ramp),,"High (foreign ownership, proprietary stack, CLOUD Act exposure)",Predominantly proprietary ,USA,USA,None,Equinix Inc.,"Equinix, Inc.",US Control,"Yes, contractual guarantee",Self-declared compliant,1900,690,4,Connected via metro fibre,IXP hosted on-site,Fully carrier-neutral,"Yes, confirmed GPU/AI infrastructure",Unknown,Unknown,ISO 27001; SOC 2,"-26.2029, 28.1680","Phase 1: 4MW; 1900 sqm; 690 cabinets. Full buildout: 20MW; 9515 sqm; 3475 cabinets. $160M. 308 Brollo Road; Tunney/Germiston. Opened 2024. First Equinix IBX in Africa.. [Equinix Investor](https://investor.equinix.com), [Yahoo Finance Holders](https://finance.yahoo.com/quote/EQIX/holders/), [MainOne Acquisition PR](https://newsroom.equinix.com/2022-04-05-Equinix-Enters-Africa,-Closing-the-US-320-Million-Acquisition-of-MainOne), [DCD News](https://www.datacenterdynamics.com)",https://www.equinix.com/data-centers/europe-colocation/south-africa-colocation/johannesburg-data-centers/jn1;https://www.datacentermap.com/south-africa/johannesburg/equinix-jn1/specs/;https://newsroom.equinix.com/2022-12-13-Equinix-to-Enter-South-Africa-with-US-160M-Data-Centre-Investment-in-Johannesburg; 
NGA-004,Rack Centre LGS1,NGA,Nigeria,Lagos,Operational,2013,Colocation/carrier-neutral,Colocation; Interconnection; Remote hands; Cloud connect; Managed services,No government data,Rack Centre,Private domestic,Private JV (PE majority + local minority),General Atlantic,"1. Actis LLP (majority stake, exact % undisclosed) [Rack Centre](https://rack-centre.com/actis-partners-with-jagal-and-acquires-a-majority-stake-in-rack-centre-a-leading-nigerian-data-centre-2/); 2. Jagal Group (minority stake) [Uptime](https://uptimeinstitute.com/clients/rack-centre-tier-iii-certification-of-constructed-facility); Others not public",,Majority (Actis/General Atlantic foreign PE),Actis LLP (controlling majority stake),"Board seat (Tim Parsonson, Actis/Teraco, Chairman) [DCD](https://www.datacenterdynamics.com/en/news/actis-takes-control-rack-centre-250m-african-investment-campaign/); No full public board list",2020: US$250m pan-Africa DC platform [Actis](https://www.act.is/about-us/portfolio/rack-centre/); 2020: US$100m Lagos expansion; 2023-25: LGS2 12MW facility (Nigeria) [Rack Centre](https://rack-centre.com/rack-centre-announces-100m-expansion-to-create-west-africas-largest-data-centre/),IFC EDGE green certification (first in EMEA); no direct equity/debt found [Rack Centre](https://rack-centre.com/rack-centre-becomes-the-first-ifc-edge-certified-data-centre-in-europe-middle-east-and-africa/),,Actiive (under construction),ISPs; banks; telcos; IXPN,Targets hyperscale/cloud customers; AWS Direct Connect location; global Tier 1 networks [Actis](https://www.act.is/about-us/portfolio/rack-centre/); no specific anchors named,,Yes,,No (fully domestic ownership and stack),,Moderate (mixed ownership or stack),Mixed open source and proprietary,NGA,USA,None,Rack Centre,General Atlantic,US Control,"Yes, contractual guarantee",Self-declared compliant,1094,,1.5,At or adjacent to cable landing station,IXP hosted on-site,Fully carrier-neutral,"Yes, confirmed GPU/AI infrastructure",Unknown,Unknown,ISO 27001; ISO 9001; ISO 22301; PCI-DSS,"6.6037, 3.3583","First carrier-neutral DC in Nigeria to achieve Uptime Tier III TCCF. IXPN hosted on-site. Fibre access to all 5 Atlantic cables: WACS; Glo-1; ACE; MainOne; SAT-3. PUE 1.5. 18 Jagal Close; Oregun; Ikeja.. [Rack Centre Actis Ann.](https://rack-centre.com/actis-partners-with-jagal-and-acquires-a-majority-stake-in-rack-centre-a-leading-nigerian-data-centre-2/), [Actis Portfolio](https://www.act.is/about-us/portfolio/rack-centre/), [DCD Actis](https://www.datacenterdynamics.com/en/news/actis-takes-control-rack-centre-250m-african-investment-campaign/), [Actis About](https://www.act.is/about-us/), [GA Actis Acq.](https://www.generalatlantic.com/media-article/general-atlantic-completes-actis-acquisition/), [IFC EDGE](https://rack-centre.com/rack-centre-becomes-the-first-ifc-edge-certified-data-centre-in-europe-middle-east-and-africa/), [Summary](/home/user/workspace/rack_centre_nigeria_research_summary.md)",https://rack-centre.com/lagos-data-centre-campus-expansion/; https://www.datacentermap.com/nigeria/lagos/rack-centre/specs/; https://rack-centre.com/wp-content/uploads/2024/05/rack-centre-spec-sheet-and-QR-code.pdf; 
NGA-005,Rack Centre LGS2,NGA,Nigeria,Lagos,Operational,2023,Colocation/carrier-neutral,Colocation; Hyperscale; Cloud connect; Interconnection; AI-ready,No government data,Rack Centre,Private domestic,Private JV (PE majority + local minority),General Atlantic,"1. Actis LLP (majority stake, exact % undisclosed) [Rack Centre](https://rack-centre.com/actis-partners-with-jagal-and-acquires-a-majority-stake-in-rack-centre-a-leading-nigerian-data-centre-2/); 2. Jagal Group (minority stake) [Uptime](https://uptimeinstitute.com/clients/rack-centre-tier-iii-certification-of-constructed-facility); Others not public",,Majority (Actis/General Atlantic foreign PE),Actis LLP (controlling majority stake),"Board seat (Tim Parsonson, Actis/Teraco, Chairman) [DCD](https://www.datacenterdynamics.com/en/news/actis-takes-control-rack-centre-250m-african-investment-campaign/); No full public board list",2020: US$250m pan-Africa DC platform [Actis](https://www.act.is/about-us/portfolio/rack-centre/); 2020: US$100m Lagos expansion; 2023-25: LGS2 12MW facility (Nigeria) [Rack Centre](https://rack-centre.com/rack-centre-announces-100m-expansion-to-create-west-africas-largest-data-centre/),IFC EDGE green certification (first in EMEA); no direct equity/debt found [Rack Centre](https://rack-centre.com/rack-centre-becomes-the-first-ifc-edge-certified-data-centre-in-europe-middle-east-and-africa/),,Actiive (under construction),Hyperscalers; banks; telcos,Targets hyperscale/cloud customers; AWS Direct Connect location; global Tier 1 networks [Actis](https://www.act.is/about-us/portfolio/rack-centre/); no specific anchors named,,Yes,,No (fully domestic ownership and stack),,Moderate (mixed ownership or stack),Mixed open source and proprietary,NGA,USA,None,Rack Centre,General Atlantic,US Control,"Yes, contractual guarantee",Self-declared compliant,6000,,12,At or adjacent to cable landing station,IXP hosted on-site,Fully carrier-neutral,"Yes, confirmed GPU/AI infrastructure",Unknown,Unknown,ISO 27001; ISO 9001; ISO 22301; PCI-DSS,"6.6037, 3.3583","Nigeria largest live DC facility at 12 MW IT load; 6 data halls; 6000 sqm white space. Same campus as LGS1 at 18 Jagal Close Oregun. PUE 1.35. Hyperscale and AI-ready. 47U high-density racks.. [Rack Centre Actis Ann.](https://rack-centre.com/actis-partners-with-jagal-and-acquires-a-majority-stake-in-rack-centre-a-leading-nigerian-data-centre-2/), [Actis Portfolio](https://www.act.is/about-us/portfolio/rack-centre/), [DCD Actis](https://www.datacenterdynamics.com/en/news/actis-takes-control-rack-centre-250m-african-investment-campaign/), [Actis About](https://www.act.is/about-us/), [GA Actis Acq.](https://www.generalatlantic.com/media-article/general-atlantic-completes-actis-acquisition/), [IFC EDGE](https://rack-centre.com/rack-centre-becomes-the-first-ifc-edge-certified-data-centre-in-europe-middle-east-and-africa/), [Summary](/home/user/workspace/rack_centre_nigeria_research_summary.md)",https://rack-centre.com/lagos-data-centre-campus-expansion/; https://www.datacentermap.com/nigeria/lagos/rack-centre-lgs2/specs/; 
EGY-004,GPX Cairo 1 Data Center (MEIX),EGY,Egypt,Cairo (Heliopolis/Almaza),Operational,2007,Colocation/carrier-neutral,Carrier-neutral colocation; Interconnection; Internet exchange hosting,No government data,GPX Global Systems Inc,Private foreign,Private; possible JV in Egypt with local partner,GPX Global Systems Inc (privately held),Not publicly disclosed (private company),,Unknown (private),,Equity,"$90M (EGP 2.7B) expansion of Cairo 2 DC in 2023 with Redcon Group, adding 12MW, phase 1 ready Q1 2025",None found,,Actiive (under construction),ISPs; enterprise; CDN providers; cloud providers,"Supports AWS Direct Connect, Google Cloud Dedicated Interconnect (India ops, likely similar in Africa); partner Link Datacenter hosts Azure Stack at GPX Cairo",Yes,Yes,Yes,Yes (US-parented operator or hyperscaler on-ramp),,Moderate (mixed ownership or stack),Mixed open source and proprietary,USA,USA,None,GPX Global Systems Inc,GPX Global Systems Inc (privately held),US Control,"Yes, contractual guarantee",Self-declared compliant,,,,Connected via metro fibre,IXP connected (not hosted),Fully carrier-neutral,No evidence,Unknown,Unknown,Unknown,"30.0950, 31.3200","GPX-C1 (Middle East Internet Exchange) Heliopolis ~500m from TE Kobba CO. Carrier-neutral. 99.995% SLA. GPX is US-based. Egypt operations NOT part of Equinix 2021 India acquisition.. [GPX Website](https://gpxglobal.net), [PR Newswire India Sale](https://www.prnewswire.com/news-releases/gpx-global-systems-inc-announces-the-sale-of-its-indian-operations-301109505.html), [DCD Cairo Expansion](https://www.datacenterdynamics.com/en/news/gxp-global-systems-plans-4x-expansion-of-data-center-in-cairo-egypt/), [LinkedIn Company](https://www.linkedin.com/company/gpx-global-systems-inc._2), [Baxtel Expansion](https://baxtel.com/news/gpx-global-systems-inc-expands-its-cairo-data-center)",https://www.datacentermap.com/egypt/cairo/middle-east-intent-exchange/;https://gpxglobal.net; 
EGY-005,GPX Cairo 2 Data Center,EGY,Egypt,Cairo (New Cairo 5th Settlement),Operational,2015,Colocation/carrier-neutral,Carrier-neutral colocation; Cloud connectivity; Interconnection,No government data,GPX Global Systems Inc,Private foreign,Private; possible JV in Egypt with local partner,GPX Global Systems Inc (privately held),Not publicly disclosed (private company),,Unknown (private),,Equity,"$90M (EGP 2.7B) expansion of Cairo 2 DC in 2023 with Redcon Group, adding 12MW, phase 1 ready Q1 2025",None found,,Actiive (under construction),Enterprise; ISPs; cloud providers,"Supports AWS Direct Connect, Google Cloud Dedicated Interconnect (India ops, likely similar in Africa); partner Link Datacenter hosts Azure Stack at GPX Cairo",Yes,Yes,Yes,Yes (US-parented operator or hyperscaler on-ramp),,Moderate (mixed ownership or stack),Mixed open source and proprietary,USA,USA,None,GPX Global Systems Inc,GPX Global Systems Inc (privately held),US Control,"Yes, contractual guarantee",Self-declared compliant,3000,,5,Connected via metro fibre,IXP connected (not hosted),Fully carrier-neutral,No evidence,Unknown,Unknown,Unknown,"30.0150, 31.4870","Opened Dec 2015. TIA-942 Rated-4 (tier_certification=6). 3000 sqm; 5 MW; 99.999% uptime. New Cairo CBD. C1 and C2 connected via diverse fibre. Equinix acquired GPX India operations only (not Egypt).. [GPX Website](https://gpxglobal.net), [PR Newswire India Sale](https://www.prnewswire.com/news-releases/gpx-global-systems-inc-announces-the-sale-of-its-indian-operations-301109505.html), [DCD Cairo Expansion](https://www.datacenterdynamics.com/en/news/gxp-global-systems-plans-4x-expansion-of-data-center-in-cairo-egypt/), [LinkedIn Company](https://www.linkedin.com/company/gpx-global-systems-inc._2), [Baxtel Expansion](https://baxtel.com/news/gpx-global-systems-inc-expands-its-cairo-data-center)",https://gpxglobal.net/gpx-global-systems-launches-new-tier4-data-centre-in-cairo-egypt/;https://www.datacenterdynamics.com/en/news/gpx-opens-second-data-center-in-cairo/; 
MAR-022,Iozera Tetouan (Eureka Park AI Hub),MAR,Morocco,Tetouan,Planned,,Hyperscale,AI hyperscale; GPU computing; AI training; research incubation,No government data,Iozera.ai,Joint venture (majority foreign),Private venture-backed startup,Iozera.ai (self-owned),1. Ryse Ventures/Timothy Ngo (stake unknown); other shareholders undisclosed (private company),,,,Equity,"$500M planned for 386MW AI data center in Tetouan, Morocco (MOU May 2024, construction Q4 2024, ops Q2 2026). No acquisitions.","None found (no IFC, US DFC, BII, AfDB links)",500000000,Planned,AI startups; researchers; hyperscalers,"None (no AWS/Azure/Google Cloud anchor tenants found); uses NVIDIA GPUs; partners Pegatron (servers), ZutaCore (cooling), Schneider Electric.",,,,Yes (US-parented operator or hyperscaler on-ramp),Huawei|ZTE,Moderate (mixed ownership or stack),Mixed open source and proprietary,USA,USA,Construction/Equipment,Iozera.ai,Iozera.ai (self-owned),US Control,Partial (some data classes),Unknown,,,386,Unknown,No IXP connection,Single carrier / captive,"Yes, confirmed GPU/AI infrastructure",Unknown,Unknown,Unknown,"35.5785, -5.3684","Announced May 2024; 386MW AI hub Tetouan Eureka Park; $500m; MoU Moroccan government; target Q2 2026; renewable from Noor Solar and Koudia Al Baida wind; US startup credibility uncertain; status Planned. [PRNewswire Morocco MOU](https://www.prnewswire.com/news-releases/us-based-iozera-announces-mou-with-government-of-morocco-for-launch-of-eco-friendly-ai-data-center-in-morocco-302136157.html), [DCD Morocco](https://www.datacenterdynamics.com/en/news/us-ai-startup-plans-massive-386mw-data-center-in-morocco/), [LinkedIn](https://www.linkedin.com/company/iozera), [DCD Houston](https://www.datacenterdynamics.com/en/news/iozera-acquires-enterprise-data-center-in-houston-plans-upgrade-to-multi-tenant-ai-site/), [PR Houston](https://www.prnewswire.com/news-releases/iozera-enters-agreement-to-acquire-fully-operational-houston-data-center-expanding-ai-as-a-service-infrastructure-302600624.html)",https://www.datacenterdynamics.com/en/news/us-ai-startup-plans-massive-386mw-data-center-in-morocco/; https://www.datacentermap.com/morocco/tangier/iozera-tetouan/; 
BWA-001,Sentlhaga Data Center,BWA,Botswana,Gaborone,Operational,2022,Colocation/carrier-neutral,Colocation; cloud services; IaaS; disaster recovery; hybrid deployments,Hosts government data alongside commercial,Botswana Telecommunications Corporation (BTC),Government / SOE,Dual-class shares (private),Liberty Latin America,"Government of the Bahamas (49%), Cable & Wireless Communications (49% economic / 51% voting), National trust (2%)",49%,49%,Liberty Latin America,Equity,,None identified,,No plans,Government agencies; enterprise clients,None identified; offers own managed cloud/data center services,,,,No (fully domestic ownership and stack),Huawei,Moderate (mixed ownership or stack),Unknown,BWA,USA,Construction/Equipment,BTC Group,Liberty Latin America,US Control,"Yes, contractual guarantee",Self-declared compliant,120,,,Landlocked/no submarine cable access,IXP connected (not hosted),Fully carrier-neutral,No evidence,Unknown,Unknown,Unknown,"-24.6558, 25.9114","First Uptime Institute-certified Tier II DC in Botswana. 120 sqm white space. BTC is state-owned. ANSI/TIA-942 and Uptime Institute certified. BTC Cloud Connect services hosted.. [Wikipedia BTC](https://en.wikipedia.org/wiki/BTC_(The_Bahamas)), [Wikipedia CWC](https://en.wikipedia.org/wiki/Cable_%26_Wireless_Communications), [Tribune Liberty parent](https://www.tribune242.com/news/2025/dec/08/cable-not-aware-of-btc-merger-proposal/), [Liberty Brands](https://lla.com/our-brands), [Huawei upgrade](https://www.lightreading.com/2g-3g-4g/bahamas-gets-4g-with-huawei-upgrade)",https://btc.bw/business/sentlhaga-data-center/;https://www.datacentermap.com/botswana/gaborone/sentlhaga-data-center/; 
ZAF-041,Microsoft Azure South Africa North (Johannesburg),ZAF,South Africa,Johannesburg,Operational,2019,Hyperscale,Hyperscale cloud; Azure; Microsoft 365; Dynamics 365; AI services,Hosts government data alongside commercial,Microsoft Corporation,Private foreign,Publicly traded with institutional dominance,Microsoft Corporation,"1. Vanguard Group (~9.6%), 2. BlackRock (~8.1%), 3. State Street (~4.1%), 4. FMR LLC (~2.7%), 5. Geode Capital (~2.4%) [Business Quant](https://businessquant.com/stocks/msft/institutional-ownership/); [CoinCodex](https://coincodex.com/article/29185/who-owns-microsoft/)",,Not specified (institutional holders include international like Norges Bank),,Equity,South Africa: ZAR 20.4B (~$1.13B) past 3 years for JNB/CPT DCs; additional ZAR 5.4B (~$300M) by 2027 for cloud/AI infra. Kenya: $1B (w/ G42) digital ecosystem incl. geothermal DC for new East Africa Azure region (announced 2024). [Microsoft News SA](https://news.microsoft.com/source/emea/features/microsoft-invests-zar-5-4bn-in-south-africa/); [Microsoft/G42 Kenya](https://news.microsoft.com/source/2024/05/22/microsoft-and-g42-announce-1-billion-comprehensive-digital-ecosystem-initiative-for-kenya/),"None found; partnerships w/ AfDB on agriculture/SMEs/connectivity, not data centers. [Microsoft AfDB](https://news.microsoft.com/source/emea/2025/12/microsoft-achieves-major-connectivity-milestone-in-africa/)",1100000000,Actiive (under construction),Government; enterprises; financial services; telcos,"Microsoft operates its own Azure regions in South Africa (JNB/CPT); no evidence of AWS/Google Cloud as anchor tenants. Other hyperscalers (AWS Cape Town, Google JNB) operate separately in SA. [Azure Regions](https://learn.microsoft.com/en-us/azure/reliability/regions-list)",Yes,Yes,Yes,Yes (US-parented operator or hyperscaler on-ramp),Huawei|ZTE,"Low (domestic ownership, open source stack, local compliance)",Predominantly proprietary ,USA,USA,Construction/Equipment,Microsoft Corporation,Microsoft Corporation,US Control,"Yes, contractual guarantee",Self-declared compliant,,,,Connected via metro fibre,IXP hosted on-site,Single carrier / captive,"Yes, confirmed GPU/AI infrastructure",Unknown,Unknown,ISO 27001; SOC 1; SOC 2; CSA STAR,"-26.1715, 27.9699",Azure SA North opened March 2019. First Microsoft enterprise-grade DCs in Africa. Azure Availability Zones since 2021. R20.4B+R5.4B investment commitment. Exact address not public.. Compiled in [workspace/sources.md](file:///home/user/workspace/microsoft_africa_research_sources.md),https://azure.microsoft.com/en-us/blog/microsoft-opens-first-datacenters-in-africa-with-general-availability-of-microsoft-azure/;https://news.microsoft.com/en-xm/2022/11/01/microsoft-expands-cloud-services-in-south-african-data-centres-to-drive-growth-and-competitiveness/; 
ZAF-042,Microsoft Azure South Africa West (Cape Town),ZAF,South Africa,Cape Town,Operational,2019,Hyperscale,Hyperscale cloud; Azure; Microsoft 365; Dynamics 365; DR region,Hosts government data alongside commercial,Microsoft Corporation,Private foreign,Publicly traded with institutional dominance,Microsoft Corporation,"1. Vanguard Group (~9.6%), 2. BlackRock (~8.1%), 3. State Street (~4.1%), 4. FMR LLC (~2.7%), 5. Geode Capital (~2.4%) [Business Quant](https://businessquant.com/stocks/msft/institutional-ownership/); [CoinCodex](https://coincodex.com/article/29185/who-owns-microsoft/)",,Not specified (institutional holders include international like Norges Bank),,Equity,South Africa: ZAR 20.4B (~$1.13B) past 3 years for JNB/CPT DCs; additional ZAR 5.4B (~$300M) by 2027 for cloud/AI infra. Kenya: $1B (w/ G42) digital ecosystem incl. geothermal DC for new East Africa Azure region (announced 2024). [Microsoft News SA](https://news.microsoft.com/source/emea/features/microsoft-invests-zar-5-4bn-in-south-africa/); [Microsoft/G42 Kenya](https://news.microsoft.com/source/2024/05/22/microsoft-and-g42-announce-1-billion-comprehensive-digital-ecosystem-initiative-for-kenya/),"None found; partnerships w/ AfDB on agriculture/SMEs/connectivity, not data centers. [Microsoft AfDB](https://news.microsoft.com/source/emea/2025/12/microsoft-achieves-major-connectivity-milestone-in-africa/)",1100000000,Actiive (under construction),Government; enterprises; regional DR,"Microsoft operates its own Azure regions in South Africa (JNB/CPT); no evidence of AWS/Google Cloud as anchor tenants. Other hyperscalers (AWS Cape Town, Google JNB) operate separately in SA. [Azure Regions](https://learn.microsoft.com/en-us/azure/reliability/regions-list)",Yes,Yes,Yes,Yes (US-parented operator or hyperscaler on-ramp),Huawei|ZTE,"Low (domestic ownership, open source stack, local compliance)",Predominantly proprietary ,USA,USA,Construction/Equipment,Microsoft Corporation,Microsoft Corporation,US Control,"Yes, contractual guarantee",Self-declared compliant,,,,Connected via metro fibre,IXP hosted on-site,Single carrier / captive,"Yes, confirmed GPU/AI infrastructure",Unknown,Unknown,ISO 27001; SOC 1; SOC 2; CSA STAR,"-33.9249, 18.4241",Azure SA West (Cape Town) opened March 2019. Paired with SA North for DR. Location inferred near submarine cable landing. Capacity undisclosed.. Compiled in [workspace/sources.md](file:///home/user/workspace/microsoft_africa_research_sources.md),https://azure.microsoft.com/en-us/blog/microsoft-opens-first-datacenters-in-africa-with-general-availability-of-microsoft-azure/;https://news.microsoft.com/en-xm/2022/11/01/microsoft-expands-cloud-services-in-south-african-data-centres-to-drive-growth-and-competitiveness/; 
